City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Butaritari,KI,82.09,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
5,Mogadishu,SO,79.83,broken clouds,2.0371,45.3438,Hotel Juba
14,Hithadhoo,MV,81.39,overcast clouds,-0.6,73.0833,Scoop Guest House
16,Atuona,PF,78.75,few clouds,-9.8,-139.0333,Villa Enata
18,Kulhudhuffushi,MV,82.49,overcast clouds,6.6221,73.07,Haajy Guest House 1
35,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
44,Chinsali,ZM,76.05,broken clouds,-10.5414,32.0816,Chisakatu Guest House
48,Iracoubo,GF,77.67,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
50,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
54,Arraial Do Cabo,BR,89.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
55,Ternate,ID,81.79,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
56,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Rikitea,PF,77.11,broken clouds,-23.1203,-134.9692,People ThankYou
62,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
63,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
67,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
70,Intipuca,SV,84.09,scattered clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
71,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
76,Viedma,AR,75.67,broken clouds,-40.8135,-62.9967,Hotel Cristal
81,Lorengau,PG,81.77,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
84,Faanui,PF,80.35,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
92,Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
98,Cockburn Town,TC,80.06,clear sky,21.4612,-71.1419,Osprey Beach Hotel
104,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
106,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
122,Rocha,UY,87.85,few clouds,-34.4833,-54.3333,Hotel Arrarte
123,Kimbe,PG,77.18,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
124,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
125,Ciudad Bolivar,VE,77.86,overcast clouds,8.1222,-63.5497,Hotel Edi
132,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
137,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
139,Mamallapuram,IN,80.06,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
148,Monrovia,LR,87.57,overcast clouds,6.3005,-10.7969,Sunset Inn
154,Hambantota,LK,79.77,overcast clouds,6.1241,81.1185,Bungalow 63
160,Grand-Santi,GF,78.37,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
179,Poum,NC,77.85,light rain,-20.2333,164.0167,Gîte kajeon
182,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
184,Aden,YE,79.48,clear sky,12.7794,45.0367,Sama Emirate Hotel
186,Bengkulu,ID,75.85,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
189,Maxixe,MZ,79.68,few clouds,-23.8597,35.3472,Oceano
191,Davila,PH,75.69,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
192,Tamandare,BR,85.19,clear sky,-8.7597,-35.1047,Pousada 100 Passos
193,Castro,BR,86.18,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
195,Paita,PE,81.16,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
198,Meulaboh,ID,77.11,overcast clouds,4.1363,96.1285,Kost Pria
201,Soanierana Ivongo,MG,75.54,light rain,-16.9167,49.5833,La Concorde
202,Vanimo,PG,79.07,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
203,Basco,PH,76.06,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
205,Canala,NC,82.89,overcast clouds,-21.5333,165.95,Table d’hôte chez Betty
206,Santa Cruz,BO,75.25,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
208,Sao Filipe,CV,76.03,scattered clouds,14.8961,-24.4956,Hotel Xaguate
211,Charters Towers,AU,75.33,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
214,Hobyo,SO,79.27,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
215,Ambon,ID,82.06,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
216,Novo Aripuana,BR,79.34,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
222,Buala,SB,80.62,light rain,-8.145,159.5921,Maringe Lagoon Lodge
223,Arlit,NE,77.65,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
224,Puerto Princesa,PH,79.5,broken clouds,9.7392,118.7353,Deep Forest Garden Inn
226,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
230,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
231,Cidreira,BR,75.7,clear sky,-30.1811,-50.2056,Hotel Castelo
235,Trinidad,BO,84.18,broken clouds,-14.8333,-64.9,Hotel Piesta
242,Caravelas,BR,84.27,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
247,Katobu,ID,76.96,broken clouds,-4.9408,122.5276,La Ode Husein
252,San-Pedro,CI,82.53,few clouds,4.7485,-6.6363,Hotel Maria
255,Saraza,PH,79.56,overcast clouds,8.7356,117.78,Farmqo Beach (Matangkay)
261,Mareeba,AU,75.92,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
267,Keningau,MY,75.65,overcast clouds,5.3378,116.1602,Sabindo Hotel
271,Lakatoro,VU,81.28,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
274,Lhokseumawe,ID,76.59,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
275,Labuhan,ID,78.71,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
279,Amaraji,BR,83.05,scattered clouds,-8.3831,-35.4525,Monsieur
280,Tabou,CI,82.67,scattered clouds,4.423,-7.3528,hotêl doufoulougou
281,Quatre Cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
