City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marzuq,YE,14.4,46.4667,61.2,37,0,3.91,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,51.12,50,72,26.22,broken clouds
2,Butaritari,KI,3.0707,172.7902,82.09,73,100,17.0,overcast clouds
3,Roma,US,43.2128,-75.4557,41.88,69,20,3.0,few clouds
4,Nioro,GM,13.35,-15.75,95.83,18,24,3.6,few clouds
5,Mogadishu,SO,2.0371,45.3438,79.83,82,69,21.0,broken clouds
6,Ushuaia,AR,-54.8,-68.3,46.06,71,75,34.52,light intensity drizzle
7,Araouane,ML,18.9048,-3.5265,80.29,7,9,7.31,clear sky
8,Cherskiy,RU,68.75,161.3,-42.77,100,48,2.24,scattered clouds
9,Jamestown,US,42.097,-79.2353,39.52,69,20,15.01,few clouds
10,Makakilo City,US,21.3469,-158.0858,71.92,84,75,4.61,broken clouds
11,East London,ZA,-33.0153,27.9116,74.34,88,75,11.5,light rain
12,Ilulissat,GL,69.2167,-51.1,21.22,68,75,8.05,broken clouds
13,Albany,US,42.6001,-73.9662,42.46,60,18,1.99,few clouds
14,Hithadhoo,MV,-0.6,73.0833,81.39,75,100,8.01,overcast clouds
15,New Norfolk,AU,-42.7826,147.0587,51.3,69,6,2.53,clear sky
16,Atuona,PF,-9.8,-139.0333,78.75,77,20,18.9,few clouds
17,Kaitangata,NZ,-46.2817,169.8464,44.22,95,88,3.11,overcast clouds
18,Kulhudhuffushi,MV,6.6221,73.07,82.49,74,87,9.93,overcast clouds
19,Goias,BR,-15.5807,-49.6362,80.1,77,99,9.35,light rain
20,Cape Town,ZA,-33.9258,18.4232,72.09,63,20,3.0,few clouds
21,Ribeira Grande,PT,38.5167,-28.7,59.4,55,40,12.66,scattered clouds
22,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,74,73,18.77,broken clouds
23,Levokumskoye,RU,44.8219,44.6606,34.79,87,79,12.64,broken clouds
24,Zhoucheng,CN,35.9122,116.3117,31.51,38,0,3.22,clear sky
25,General Roca,AR,-39.0333,-67.5833,73.62,16,41,33.33,light rain
26,Plettenberg Bay,ZA,-34.0527,23.3716,66.31,83,94,7.72,overcast clouds
27,Brae,GB,60.3964,-1.353,46.31,78,100,13.53,overcast clouds
28,Beloha,MG,-25.1667,45.05,76.71,74,72,11.5,broken clouds
29,Jorpeland,NO,59.0225,6.0408,46.15,59,99,6.17,overcast clouds
30,Dikson,RU,73.5069,80.5464,-20.76,95,43,10.8,scattered clouds
31,Zhigansk,RU,66.7697,123.3711,-24.63,100,99,2.42,overcast clouds
32,Clyde River,CA,70.4692,-68.5914,-17.66,97,21,3.96,few clouds
33,Klaksvik,FO,62.2266,-6.589,43.72,73,100,18.79,overcast clouds
34,Upernavik,GL,72.7868,-56.1549,3.31,93,100,9.55,overcast clouds
35,Kapaa,US,22.0752,-159.319,75.52,79,75,3.0,broken clouds
36,Avarua,CK,-21.2078,-159.775,75.25,88,90,2.3,light rain
37,Mar Del Plata,AR,-38.0023,-57.5575,69.82,95,75,17.0,light rain
38,Wattegama,LK,6.7989,81.4808,73.62,94,100,3.87,overcast clouds
39,Emba,KZ,48.8264,58.1442,14.4,78,3,17.69,clear sky
40,Mataura,NZ,-46.1927,168.8643,45.48,99,79,1.83,broken clouds
41,Kosa,RU,59.9445,54.9977,10.13,89,97,5.82,overcast clouds
42,Norman Wells,CA,65.282,-126.8329,-2.16,71,90,19.57,light snow
43,Kortkeros,RU,61.8106,51.5806,3.2,91,95,5.57,overcast clouds
44,Chinsali,ZM,-10.5414,32.0816,76.05,44,73,7.45,broken clouds
45,Qaanaaq,GL,77.484,-69.3632,-1.17,67,94,2.15,overcast clouds
46,Yellowknife,CA,62.456,-114.3525,10.42,89,90,8.05,light snow
47,Oyama,JP,36.3,139.8,54.59,64,6,5.03,clear sky
48,Iracoubo,GF,5.4802,-53.2011,77.67,90,100,12.91,overcast clouds
49,Bonga,ET,7.2833,36.2333,63.07,41,73,2.35,broken clouds
50,The Valley,AI,18.217,-63.0578,85.86,74,40,14.97,scattered clouds
51,Hermanus,ZA,-34.4187,19.2345,68.81,81,100,2.73,overcast clouds
52,Kermanshah,IR,34.3142,47.065,41.9,49,0,0.0,clear sky
53,Tiksi,RU,71.6872,128.8694,-21.3,100,95,1.61,overcast clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,40,10.36,scattered clouds
55,Ternate,ID,0.8,127.4,81.79,81,92,10.87,overcast clouds
56,Puerto Ayora,EC,-0.7393,-90.3518,75.16,91,99,3.0,overcast clouds
57,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,16.11,light snow
58,Lebu,CL,-37.6167,-73.65,58.26,56,6,9.66,clear sky
59,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,16.11,light snow
60,Rikitea,PF,-23.1203,-134.9692,77.11,74,54,5.44,broken clouds
61,Kodiak,US,57.79,-152.4072,9.91,56,1,21.85,clear sky
62,Mahebourg,MU,-20.4081,57.7,79.09,65,75,11.5,broken clouds
63,Bambous Virieux,MU,-20.3428,57.7575,79.05,65,75,11.5,broken clouds
64,Chokurdakh,RU,70.6333,147.9167,-30.42,95,100,1.68,overcast clouds
65,Katsuura,JP,35.1333,140.3,56.19,66,10,12.91,clear sky
66,Palmer,US,42.1584,-72.3287,44.92,46,20,3.0,few clouds
67,Georgetown,MY,5.4112,100.3354,82.33,82,20,5.01,few clouds
68,Catalina,US,32.5056,-110.9211,60.66,40,3,1.99,clear sky
69,Darhan,MN,49.4867,105.9228,5.88,86,41,4.88,scattered clouds
70,Intipuca,SV,13.1969,-88.0544,84.09,50,35,4.05,scattered clouds
71,Port Hedland,AU,-20.3167,118.5667,84.25,79,3,9.22,clear sky
72,Codrington,AU,-38.2667,141.9667,59.43,49,10,8.66,clear sky
73,Husavik,IS,66.0449,-17.3389,40.91,78,92,18.57,overcast clouds
74,Hilo,US,19.7297,-155.09,69.8,71,21,5.28,few clouds
75,Khatanga,RU,71.9667,102.5,-51.86,100,76,1.86,broken clouds
76,Viedma,AR,-40.8135,-62.9967,75.67,20,68,16.84,broken clouds
77,Bluff,NZ,-46.6,168.3333,45.81,86,36,2.24,scattered clouds
78,Watertown,US,42.3709,-71.1828,46.49,33,1,5.01,clear sky
79,Lompoc,US,34.6391,-120.4579,60.08,83,1,4.61,clear sky
80,Hervey Bay,AU,-25.2986,152.8535,73.02,80,13,3.0,few clouds
81,Lorengau,PG,-2.0226,147.2712,81.77,85,74,9.69,light rain
82,Hobart,AU,-42.8794,147.3294,51.66,79,4,1.01,clear sky
83,Busselton,AU,-33.65,115.3333,51.08,70,63,11.52,broken clouds
84,Faanui,PF,-16.4833,-151.75,80.35,73,63,10.83,broken clouds
85,Sept-Iles,CA,50.2001,-66.3821,31.05,73,75,15.01,broken clouds
86,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,78,75,13.8,broken clouds
87,Flinders,AU,-34.5833,150.8552,59.81,86,49,6.13,scattered clouds
88,Beringovskiy,RU,63.05,179.3167,-25.08,95,74,10.04,broken clouds
89,Antalaha,MG,-14.9003,50.2788,74.89,87,99,6.64,light rain
90,Torbay,CA,47.6666,-52.7314,57.27,93,90,37.98,light intensity drizzle
91,Ancud,CL,-41.8697,-73.8203,58.53,66,91,14.18,overcast clouds
92,Kralendijk,BQ,12.15,-68.2667,85.98,66,40,12.66,scattered clouds
93,Saskylakh,RU,71.9167,114.0833,-45.11,100,73,3.27,broken clouds
94,Tasiilaq,GL,65.6145,-37.6368,37.56,68,100,28.7,overcast clouds
