City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-12-09 21:45:25,22.0752,-159.319,80.92,82,20,3.0
1,Tombouctou,ML,2021-12-09 21:45:26,20.0,-3.0,69.35,14,100,11.05
2,Kavieng,PG,2021-12-09 21:45:26,-2.5744,150.7967,83.25,81,67,17.27
3,Porto Walter,BR,2021-12-09 21:45:27,-8.2686,-72.7439,82.89,69,100,3.13
4,Airai,TL,2021-12-09 21:45:27,-8.9266,125.4092,62.65,85,92,1.07
5,Thompson,CA,2021-12-09 21:45:27,55.7435,-97.8558,1.56,78,90,9.22
6,Nikolskoye,RU,2021-12-09 21:45:28,59.7035,30.7861,0.01,99,85,4.12
7,Kamenka,RU,2021-12-09 21:44:09,51.3223,42.7678,31.75,87,100,7.49
8,Arraial Do Cabo,BR,2021-12-09 21:45:28,-22.9661,-42.0278,73.36,83,0,8.05
9,Mathathane,BW,2021-12-09 21:45:29,-22.2687,28.7495,76.62,50,67,4.63
10,Porto Empedocle,IT,2021-12-09 21:45:29,37.2934,13.5264,47.37,59,79,23.13
11,Port Elizabeth,ZA,2021-12-09 21:43:21,-33.918,25.5701,68.29,100,90,6.91
12,Lompoc,US,2021-12-09 21:42:53,34.6391,-120.4579,60.57,74,90,11.5
13,Tasiilaq,GL,2021-12-09 21:45:30,65.6145,-37.6368,32.16,68,100,7.67
14,Punta Arenas,CL,2021-12-09 21:45:30,-53.15,-70.9167,60.91,41,40,25.32
15,Atuona,PF,2021-12-09 21:45:30,-9.8,-139.0333,78.44,63,77,13.96
16,Namalenga,TZ,2021-12-09 21:45:31,-10.95,39.1,72.07,88,3,4.76
17,Severo-Kurilsk,RU,2021-12-09 21:45:31,50.6789,156.125,32.0,77,7,7.72
18,Codrington,AU,2021-12-09 21:40:34,-38.2667,141.9667,56.66,73,92,14.0
19,Busselton,AU,2021-12-09 21:45:31,-33.65,115.3333,64.09,77,99,12.06
20,Srednekolymsk,RU,2021-12-09 21:45:32,67.45,153.6833,-37.16,100,98,1.81
21,Lavrentiya,RU,2021-12-09 21:44:05,65.5833,-171.0,-6.65,88,97,9.35
22,Albany,US,2021-12-09 21:43:48,42.6001,-73.9662,31.8,65,100,3.33
23,Hilo,US,2021-12-09 21:42:19,19.7297,-155.09,79.11,60,75,9.22
24,Ushuaia,AR,2021-12-09 21:45:32,-54.8,-68.3,58.66,38,40,23.02
25,Victoria,HK,2021-12-09 21:43:31,22.2855,114.1577,67.32,85,1,4.0
26,Saint-Philippe,RE,2021-12-09 21:45:33,-21.3585,55.7679,76.55,78,54,9.48
27,Rikitea,PF,2021-12-09 21:45:33,-23.1203,-134.9692,75.85,73,86,20.98
28,Puerto Ayora,EC,2021-12-09 21:45:34,-0.7393,-90.3518,71.56,95,95,3.0
29,Butaritari,KI,2021-12-09 21:45:34,3.0707,172.7902,81.93,77,99,8.46
30,Bengkulu,ID,2021-12-09 21:45:34,-3.8004,102.2655,75.69,91,100,5.21
31,Hithadhoo,MV,2021-12-09 21:45:35,-0.6,73.0833,80.62,79,100,10.71
32,Ferme-Neuve,CA,2021-12-09 21:45:35,46.7001,-75.4493,15.58,86,98,1.88
33,Bluff,NZ,2021-12-09 21:45:35,-46.6,168.3333,59.81,63,6,11.3
34,Suleja,NG,2021-12-09 21:45:36,9.1758,7.1808,76.19,25,1,4.83
35,Bilibino,RU,2021-12-09 21:45:36,68.0546,166.4372,-45.92,100,99,1.52
36,Avarua,CK,2021-12-09 21:45:36,-21.2078,-159.775,78.85,73,75,8.05
37,Shingu,JP,2021-12-09 21:45:37,33.7333,135.9833,53.29,77,100,2.66
38,Pangnirtung,CA,2021-12-09 21:45:37,66.1451,-65.7125,1.4,78,75,3.44
39,Beringovskiy,RU,2021-12-09 21:45:37,63.05,179.3167,-10.1,93,95,14.58
40,Georgetown,MY,2021-12-09 21:42:04,5.4112,100.3354,80.53,81,20,1.99
41,Kahului,US,2021-12-09 21:42:19,20.8947,-156.47,82.85,68,20,4.61
42,Los Llanos De Aridane,ES,2021-12-09 21:45:38,28.6585,-17.9182,61.12,80,75,1.99
43,Cape Town,ZA,2021-12-09 21:41:27,-33.9258,18.4232,66.61,78,20,4.0
44,Makow Mazowiecki,PL,2021-12-09 21:46:38,52.8649,21.1005,31.98,94,100,14.18
45,Mataura,NZ,2021-12-09 21:46:39,-46.1927,168.8643,59.49,50,33,1.14
46,Sayyan,YE,2021-12-09 21:46:39,15.1718,44.3244,44.38,17,0,4.18
47,Vaini,TO,2021-12-09 21:46:39,-21.2,-175.2,82.56,78,20,8.05
48,Ahipara,NZ,2021-12-09 21:46:40,-35.1667,173.1667,72.68,57,51,3.13
49,Khatanga,RU,2021-12-09 21:46:40,71.9667,102.5,-8.68,96,100,11.36
50,Coquimbo,CL,2021-12-09 21:46:20,-29.9533,-71.3436,65.93,68,0,13.8
51,Kearney,US,2021-12-09 21:46:41,40.6995,-99.0815,53.51,41,1,5.99
52,Saskylakh,RU,2021-12-09 21:46:41,71.9167,114.0833,-12.82,98,100,6.53
53,San Vicente,AR,2021-12-09 21:46:41,-26.6167,-54.1333,76.1,35,0,3.33
54,Emporia,US,2021-12-09 21:46:42,38.4039,-96.1817,68.2,24,1,9.22
55,Hovd,MN,2021-12-09 21:46:42,48.0056,91.6419,8.31,80,51,5.23
56,Tiksi,RU,2021-12-09 21:46:42,71.6872,128.8694,-9.99,93,100,9.66
57,Bontang,ID,2021-12-09 21:46:43,0.1333,117.5,75.4,95,100,7.87
58,Yellowknife,CA,2021-12-09 21:46:43,62.456,-114.3525,-4.72,87,75,8.05
59,Kloulklubed,PW,2021-12-09 21:46:43,7.0419,134.2556,77.5,75,100,8.86
60,Cabo San Lucas,MX,2021-12-09 21:42:07,22.8909,-109.9124,86.5,49,7,11.48
61,Ribeira Grande,PT,2021-12-09 21:46:44,38.5167,-28.7,61.2,72,75,8.05
62,New Norfolk,AU,2021-12-09 21:46:44,-42.7826,147.0587,56.91,59,100,1.01
